"priority","event","emotion","variant","sex","kind","subtitle","audio_path","recording_status","seed_audio_path","seed_source","seed_license"
"P0","casualty","controlled","6","Male","pool","I've been hit!","Voice\Battlefield\Male\casualty__controlled 5.ogg","recording_required","","",""
"P0","casualty","controlled","7","Female","pool","Wounded here!","Voice\Battlefield\Female\casualty__controlled 6.ogg","recording_required","","",""
"P0","casualty","controlled","7","Male","pool","Wounded here!","Voice\Battlefield\Male\casualty__controlled 6.ogg","recording_required","","",""
"P0","casualty","controlled","8","Female","pool","I'm hurt!","Voice\Battlefield\Female\casualty__controlled 7.ogg","recording_required","","",""
"P0","casualty","controlled","8","Male","pool","I'm hurt!","Voice\Battlefield\Male\casualty__controlled 7.ogg","recording_required","","",""
"P0","casualty","controlled","9","Female","pool","Casualty here!","Voice\Battlefield\Female\casualty__controlled 8.ogg","recording_required","","",""
"P0","casualty","controlled","9","Male","pool","Casualty here!","Voice\Battlefield\Male\casualty__controlled 8.ogg","recording_required","","",""
"P0","casualty","distressed","0","Female","emotional_override","I'm hit!","Voice\Battlefield\Female\casualty__distressed.ogg","recording_required","","",""
"P0","casualty","distressed","0","Male","emotional_override","I'm hit!","Voice\Battlefield\Male\casualty__distressed.ogg","recording_required","","",""
"P0","casualty","distressed","1","Female","emotional_override","Help me!","Voice\Battlefield\Female\casualty__distressed 0.ogg","recording_required","","",""
"P0","casualty","distressed","1","Male","emotional_override","Help me!","Voice\Battlefield\Male\casualty__distressed 0.ogg","recording_required","","",""
"P0","casualty","panicked","0","Female","emotional_override","Oh God!","Voice\Battlefield\Female\casualty__panicked.ogg","recording_required","","",""
"P0","casualty","panicked","0","Male","emotional_override","Oh God!","Voice\Battlefield\Male\casualty__panicked.ogg","recording_required","","",""
"P0","casualty","panicked","1","Female","emotional_override","Please help me!","Voice\Battlefield\Female\casualty__panicked 0.ogg","recording_required","","",""
"P0","casualty","panicked","1","Male","emotional_override","Please help me!","Voice\Battlefield\Male\casualty__panicked 0.ogg","recording_required","","",""
"P0","casualty","panicked","2","Female","emotional_override","I don't want to die!","Voice\Battlefield\Female\casualty__panicked 1.ogg","recording_required","","",""
"P0","casualty","panicked","2","Male","emotional_override","I don't want to die!","Voice\Battlefield\Male\casualty__panicked 1.ogg","recording_required","","",""
"P0","casualty","panicked","3","Female","emotional_override","Mother!","Voice\Battlefield\Female\casualty__panicked 2.ogg","recording_required","","",""
"P0","casualty","panicked","3","Male","emotional_override","Mother!","Voice\Battlefield\Male\casualty__panicked 2.ogg","recording_required","","",""
"P0","grenade","controlled","0","Female","pool","Grenade!","Voice\Battlefield\Female\grenade__controlled.ogg","recording_required","","",""
"P0","grenade","controlled","0","Male","pool","Grenade!","Voice\Battlefield\Male\grenade__controlled.ogg","recording_required","","",""
"P0","grenade","controlled","1","Female","pool","Grenade out!","Voice\Battlefield\Female\grenade__controlled 0.ogg","recording_required","","",""
"P0","grenade","controlled","1","Male","pool","Grenade out!","Voice\Battlefield\Male\grenade__controlled 0.ogg","recording_required","","",""
"P0","grenade","controlled","2","Female","pool","Frag out!","Voice\Battlefield\Female\grenade__controlled 1.ogg","recording_required","","",""
"P0","grenade","controlled","2","Male","pool","Frag out!","Voice\Battlefield\Male\grenade__controlled 1.ogg","recording_required","","",""
"P0","grenade","controlled","3","Female","pool","Explosive out!","Voice\Battlefield\Female\grenade__controlled 2.ogg","recording_required","","",""
"P0","grenade","controlled","3","Male","pool","Explosive out!","Voice\Battlefield\Male\grenade__controlled 2.ogg","recording_required","","",""
"P0","grenade","controlled","4","Female","pool","Grenade, take cover!","Voice\Battlefield\Female\grenade__controlled 3.ogg","recording_required","","",""
"P0","grenade","controlled","4","Male","pool","Grenade, take cover!","Voice\Battlefield\Male\grenade__controlled 3.ogg","recording_required","","",""
"P0","grenade","controlled","5","Female","pool","Throwing grenade!","Voice\Battlefield\Female\grenade__controlled 4.ogg","recording_required","","",""
"P0","grenade","controlled","5","Male","pool","Throwing grenade!","Voice\Battlefield\Male\grenade__controlled 4.ogg","recording_required","","",""
"P0","grenade","controlled","6","Female","pool","Fire in the hole!","Voice\Battlefield\Female\grenade__controlled 5.ogg","reuse_seed","Female\war_fire_in_the_hole.ogg","Kenney Voiceover Pack","CC0 1.0"
"P0","grenade","controlled","6","Male","pool","Fire in the hole!","Voice\Battlefield\Male\grenade__controlled 5.ogg","reuse_seed","Male\war_fire_in_the_hole.ogg","Kenney Voiceover Pack","CC0 1.0"
"P0","grenade","controlled","7","Female","pool","Get down, grenade!","Voice\Battlefield\Female\grenade__controlled 6.ogg","recording_required","","",""
"P0","grenade","controlled","7","Male","pool","Get down, grenade!","Voice\Battlefield\Male\grenade__controlled 6.ogg","recording_required","","",""
"P0","grenade","controlled","8","Female","pool","Grenade on them!","Voice\Battlefield\Female\grenade__controlled 7.ogg","recording_required","","",""
"P0","grenade","controlled","8","Male","pool","Grenade on them!","Voice\Battlefield\Male\grenade__controlled 7.ogg","recording_required","","",""
"P0","grenade","controlled","9","Female","pool","Watch the blast!","Voice\Battlefield\Female\grenade__controlled 8.ogg","recording_required","","",""
"P0","grenade","controlled","9","Male","pool","Watch the blast!","Voice\Battlefield\Male\grenade__controlled 8.ogg","recording_required","","",""
"P0","incoming","controlled","0","Female","pool","Incoming fire!","Voice\Battlefield\Female\incoming__controlled.ogg","recording_required","","",""
"P0","incoming","controlled","0","Male","pool","Incoming fire!","Voice\Battlefield\Male\incoming__controlled.ogg","recording_required","","",""
"P0","incoming","controlled","1","Female","pool","Get down, now!","Voice\Battlefield\Female\incoming__controlled 0.ogg","recording_required","","",""
"P0","incoming","controlled","1","Male","pool","Get down, now!","Voice\Battlefield\Male\incoming__controlled 0.ogg","recording_required","","",""
"P0","incoming","controlled","2","Female","pool","Shots incoming!","Voice\Battlefield\Female\incoming__controlled 1.ogg","recording_required","","",""
"P0","incoming","controlled","2","Male","pool","Shots incoming!","Voice\Battlefield\Male\incoming__controlled 1.ogg","recording_required","","",""
"P0","incoming","controlled","3","Female","pool","Take cover, incoming!","Voice\Battlefield\Female\incoming__controlled 2.ogg","recording_required","","",""
"P0","incoming","controlled","3","Male","pool","Take cover, incoming!","Voice\Battlefield\Male\incoming__controlled 2.ogg","recording_required","","",""
"P0","incoming","controlled","4","Female","pool","They're firing on us!","Voice\Battlefield\Female\incoming__controlled 3.ogg","recording_required","","",""
"P0","incoming","controlled","4","Male","pool","They're firing on us!","Voice\Battlefield\Male\incoming__controlled 3.ogg","recording_required","","",""
"P0","incoming","controlled","5","Female","pool","Down, down!","Voice\Battlefield\Female\incoming__controlled 4.ogg","recording_required","","",""
"P0","incoming","controlled","5","Male","pool","Down, down!","Voice\Battlefield\Male\incoming__controlled 4.ogg","recording_required","","",""
"P0","incoming","controlled","6","Female","pool","We're taking fire!","Voice\Battlefield\Female\incoming__controlled 5.ogg","recording_required","","",""
"P0","incoming","controlled","6","Male","pool","We're taking fire!","Voice\Battlefield\Male\incoming__controlled 5.ogg","recording_required","","",""
"P0","incoming","controlled","7","Female","pool","Watch out!","Voice\Battlefield\Female\incoming__controlled 6.ogg","recording_required","","",""
"P0","incoming","controlled","7","Male","pool","Watch out!","Voice\Battlefield\Male\incoming__controlled 6.ogg","recording_required","","",""
"P0","incoming","controlled","8","Female","pool","Fire on our position!","Voice\Battlefield\Female\incoming__controlled 7.ogg","recording_required","","",""
"P0","incoming","controlled","8","Male","pool","Fire on our position!","Voice\Battlefield\Male\incoming__controlled 7.ogg","recording_required","","",""
"P0","incoming","controlled","9","Female","pool","Enemy fire!","Voice\Battlefield\Female\incoming__controlled 8.ogg","recording_required","","",""
"P0","incoming","controlled","9","Male","pool","Enemy fire!","Voice\Battlefield\Male\incoming__controlled 8.ogg","recording_required","","",""
"P0","incoming","distressed","0","Female","emotional_override","We're taking fire!","Voice\Battlefield\Female\incoming__distressed.ogg","recording_required","","",""
"P0","incoming","distressed","0","Male","emotional_override","We're taking fire!","Voice\Battlefield\Male\incoming__distressed.ogg","recording_required","","",""
"P0","incoming","panicked","0","Female","emotional_override","They're all over us!","Voice\Battlefield\Female\incoming__panicked.ogg","recording_required","","",""
"P0","incoming","panicked","0","Male","emotional_override","They're all over us!","Voice\Battlefield\Male\incoming__panicked.ogg","recording_required","","",""
"P0","medic","angry","0","Female","emotional_override","Medic, now!","Voice\Battlefield\Female\medic__angry.ogg","recording_required","","",""
"P0","medic","angry","0","Male","emotional_override","Medic, now!","Voice\Battlefield\Male\medic__angry.ogg","recording_required","","",""
"P0","medic","controlled","0","Female","pool","Medic!","Voice\Battlefield\Female\medic__controlled.ogg","reuse_seed","Female\war_medic.ogg","Kenney Voiceover Pack","CC0 1.0"
"P0","medic","controlled","0","Male","pool","Medic!","Voice\Battlefield\Male\medic__controlled.ogg","reuse_seed","Male\war_medic.ogg","Kenney Voiceover Pack","CC0 1.0"
"P0","medic","controlled","1","Female","pool","Medic, here!","Voice\Battlefield\Female\medic__controlled 0.ogg","recording_required","","",""
"P0","medic","controlled","1","Male","pool","Medic, here!","Voice\Battlefield\Male\medic__controlled 0.ogg","recording_required","","",""
"P0","medic","controlled","2","Female","pool","Get the medic!","Voice\Battlefield\Female\medic__controlled 1.ogg","recording_required","","",""
"P0","medic","controlled","2","Male","pool","Get the medic!","Voice\Battlefield\Male\medic__controlled 1.ogg","recording_required","","",""
"P0","medic","controlled","3","Female","pool","He's hit, medic!","Voice\Battlefield\Female\medic__controlled 2.ogg","recording_required","","",""
"P0","medic","controlled","3","Male","pool","He's hit, medic!","Voice\Battlefield\Male\medic__controlled 2.ogg","recording_required","","",""
"P0","medic","controlled","4","Female","pool","Help him!","Voice\Battlefield\Female\medic__controlled 3.ogg","recording_required","","",""
"P0","medic","controlled","4","Male","pool","Help him!","Voice\Battlefield\Male\medic__controlled 3.ogg","recording_required","","",""
"P0","medic","controlled","5","Female","pool","Medic, move!","Voice\Battlefield\Female\medic__controlled 4.ogg","recording_required","","",""
"P0","medic","controlled","5","Male","pool","Medic, move!","Voice\Battlefield\Male\medic__controlled 4.ogg","recording_required","","",""
"P0","medic","controlled","6","Female","pool","Get over here, medic!","Voice\Battlefield\Female\medic__controlled 5.ogg","recording_required","","",""
"P0","medic","controlled","6","Male","pool","Get over here, medic!","Voice\Battlefield\Male\medic__controlled 5.ogg","recording_required","","",""
"P0","medic","controlled","7","Female","pool","We need medical!","Voice\Battlefield\Female\medic__controlled 6.ogg","recording_required","","",""
"P0","medic","controlled","7","Male","pool","We need medical!","Voice\Battlefield\Male\medic__controlled 6.ogg","recording_required","","",""
"P0","medic","controlled","8","Female","pool","Treat him!","Voice\Battlefield\Female\medic__controlled 7.ogg","recording_required","","",""
"P0","medic","controlled","8","Male","pool","Treat him!","Voice\Battlefield\Male\medic__controlled 7.ogg","recording_required","","",""
"P0","medic","controlled","9","Female","pool","Medic, he's bleeding!","Voice\Battlefield\Female\medic__controlled 8.ogg","recording_required","","",""
"P0","medic","controlled","9","Male","pool","Medic, he's bleeding!","Voice\Battlefield\Male\medic__controlled 8.ogg","recording_required","","",""
"P0","medic","distressed","0","Female","emotional_override","Help me!","Voice\Battlefield\Female\medic__distressed.ogg","recording_required","","",""
"P0","medic","distressed","0","Male","emotional_override","Help me!","Voice\Battlefield\Male\medic__distressed.ogg","recording_required","","",""
"P0","medic","distressed","1","Female","emotional_override","I need a medic!","Voice\Battlefield\Female\medic__distressed 0.ogg","recording_required","","",""
"P0","medic","distressed","1","Male","emotional_override","I need a medic!","Voice\Battlefield\Male\medic__distressed 0.ogg","recording_required","","",""
"P0","medic","panicked","0","Female","emotional_override","Please help me!","Voice\Battlefield\Female\medic__panicked.ogg","recording_required","","",""
"P0","medic","panicked","0","Male","emotional_override","Please help me!","Voice\Battlefield\Male\medic__panicked.ogg","recording_required","","",""
"P0","medic","panicked","1","Female","emotional_override","Don't leave me!","Voice\Battlefield\Female\medic__panicked 0.ogg","recording_required","","",""
"P0","medic","panicked","1","Male","emotional_override","Don't leave me!","Voice\Battlefield\Male\medic__panicked 0.ogg","recording_required","","",""
"P0","medic","panicked","2","Female","emotional_override","Medic! Please!","Voice\Battlefield\Female\medic__panicked 1.ogg","recording_required","","",""
"P0","medic","panicked","2","Male","emotional_override","Medic! Please!","Voice\Battlefield\Male\medic__panicked 1.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","0","Female","pool","Out of ammo!","Voice\Battlefield\Female\out_of_ammo__controlled.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","0","Male","pool","Out of ammo!","Voice\Battlefield\Male\out_of_ammo__controlled.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","1","Female","pool","I'm empty!","Voice\Battlefield\Female\out_of_ammo__controlled 0.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","1","Male","pool","I'm empty!","Voice\Battlefield\Male\out_of_ammo__controlled 0.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","2","Female","pool","No rounds!","Voice\Battlefield\Female\out_of_ammo__controlled 1.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","2","Male","pool","No rounds!","Voice\Battlefield\Male\out_of_ammo__controlled 1.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","3","Female","pool","Weapon empty!","Voice\Battlefield\Female\out_of_ammo__controlled 2.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","3","Male","pool","Weapon empty!","Voice\Battlefield\Male\out_of_ammo__controlled 2.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","4","Female","pool","Cover me, I'm dry!","Voice\Battlefield\Female\out_of_ammo__controlled 3.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","4","Male","pool","Cover me, I'm dry!","Voice\Battlefield\Male\out_of_ammo__controlled 3.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","5","Female","pool","I'm out!","Voice\Battlefield\Female\out_of_ammo__controlled 4.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","5","Male","pool","I'm out!","Voice\Battlefield\Male\out_of_ammo__controlled 4.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","6","Female","pool","No ammunition!","Voice\Battlefield\Female\out_of_ammo__controlled 5.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","6","Male","pool","No ammunition!","Voice\Battlefield\Male\out_of_ammo__controlled 5.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","7","Female","pool","Empty, cover me!","Voice\Battlefield\Female\out_of_ammo__controlled 6.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","7","Male","pool","Empty, cover me!","Voice\Battlefield\Male\out_of_ammo__controlled 6.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","8","Female","pool","I need ammo!","Voice\Battlefield\Female\out_of_ammo__controlled 7.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","8","Male","pool","I need ammo!","Voice\Battlefield\Male\out_of_ammo__controlled 7.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","9","Female","pool","Dry!","Voice\Battlefield\Female\out_of_ammo__controlled 8.ogg","recording_required","","",""
"P0","out_of_ammo","controlled","9","Male","pool","Dry!","Voice\Battlefield\Male\out_of_ammo__controlled 8.ogg","recording_required","","",""
"P0","out_of_ammo","panicked","0","Female","emotional_override","I'm out! Cover me!","Voice\Battlefield\Female\out_of_ammo__panicked.ogg","recording_required","","",""
"P0","out_of_ammo","panicked","0","Male","emotional_override","I'm out! Cover me!","Voice\Battlefield\Male\out_of_ammo__panicked.ogg","recording_required","","",""
"P0","take_cover","controlled","0","Female","pool","Take cover!","Voice\Battlefield\Female\take_cover__controlled.ogg","recording_required","","",""
"P0","take_cover","controlled","0","Male","pool","Take cover!","Voice\Battlefield\Male\take_cover__controlled.ogg","recording_required","","",""
"P0","take_cover","controlled","1","Female","pool","Get down!","Voice\Battlefield\Female\take_cover__controlled 0.ogg","reuse_seed","Female\war_get_down.ogg","Kenney Voiceover Pack","CC0 1.0"
"P0","take_cover","controlled","1","Male","pool","Get down!","Voice\Battlefield\Male\take_cover__controlled 0.ogg","reuse_seed","Male\war_get_down.ogg","Kenney Voiceover Pack","CC0 1.0"
"P0","take_cover","controlled","2","Female","pool","Find cover!","Voice\Battlefield\Female\take_cover__controlled 1.ogg","recording_required","","",""
"P0","take_cover","controlled","2","Male","pool","Find cover!","Voice\Battlefield\Male\take_cover__controlled 1.ogg","recording_required","","",""
"P0","take_cover","controlled","3","Female","pool","Get behind something!","Voice\Battlefield\Female\take_cover__controlled 2.ogg","recording_required","","",""
"P0","take_cover","controlled","3","Male","pool","Get behind something!","Voice\Battlefield\Male\take_cover__controlled 2.ogg","recording_required","","",""
"P0","take_cover","controlled","4","Female","pool","Get out of the open!","Voice\Battlefield\Female\take_cover__controlled 3.ogg","recording_required","","",""
"P0","take_cover","controlled","4","Male","pool","Get out of the open!","Voice\Battlefield\Male\take_cover__controlled 3.ogg","recording_required","","",""
"P0","take_cover","controlled","5","Female","pool","Cover, now!","Voice\Battlefield\Female\take_cover__controlled 4.ogg","recording_required","","",""
"P0","take_cover","controlled","5","Male","pool","Cover, now!","Voice\Battlefield\Male\take_cover__controlled 4.ogg","recording_required","","",""
"P0","take_cover","controlled","6","Female","pool","Get low!","Voice\Battlefield\Female\take_cover__controlled 5.ogg","recording_required","","",""
"P0","take_cover","controlled","6","Male","pool","Get low!","Voice\Battlefield\Male\take_cover__controlled 5.ogg","recording_required","","",""
"P0","take_cover","controlled","7","Female","pool","Move to cover!","Voice\Battlefield\Female\take_cover__controlled 6.ogg","recording_required","","",""
"P0","take_cover","controlled","7","Male","pool","Move to cover!","Voice\Battlefield\Male\take_cover__controlled 6.ogg","recording_required","","",""
"P0","take_cover","controlled","8","Female","pool","Heads down!","Voice\Battlefield\Female\take_cover__controlled 7.ogg","recording_required","","",""
"P0","take_cover","controlled","8","Male","pool","Heads down!","Voice\Battlefield\Male\take_cover__controlled 7.ogg","recording_required","","",""
"P0","take_cover","controlled","9","Female","pool","Off the open ground!","Voice\Battlefield\Female\take_cover__controlled 8.ogg","recording_required","","",""
"P0","take_cover","controlled","9","Male","pool","Off the open ground!","Voice\Battlefield\Male\take_cover__controlled 8.ogg","recording_required","","",""
"P0","take_cover","distressed","0","Female","emotional_override","We need cover!","Voice\Battlefield\Female\take_cover__distressed.ogg","recording_required","","",""
"P0","take_cover","distressed","0","Male","emotional_override","We need cover!","Voice\Battlefield\Male\take_cover__distressed.ogg","recording_required","","",""
"P0","take_cover","panicked","0","Female","emotional_override","Get down!","Voice\Battlefield\Female\take_cover__panicked.ogg","recording_required","","",""
"P0","take_cover","panicked","0","Male","emotional_override","Get down!","Voice\Battlefield\Male\take_cover__panicked.ogg","recording_required","","",""
"P0","withdraw","angry","0","Female","emotional_override","Back! Move!","Voice\Battlefield\Female\withdraw__angry.ogg","recording_required","","",""
"P0","withdraw","angry","0","Male","emotional_override","Back! Move!","Voice\Battlefield\Male\withdraw__angry.ogg","recording_required","","",""
"P0","withdraw","controlled","0","Female","pool","Fall back!","Voice\Battlefield\Female\withdraw__controlled.ogg","recording_required","","",""
"P0","withdraw","controlled","0","Male","pool","Fall back!","Voice\Battlefield\Male\withdraw__controlled.ogg","recording_required","","",""
"P0","withdraw","controlled","1","Female","pool","Break contact!","Voice\Battlefield\Female\withdraw__controlled 0.ogg","recording_required","","",""
"P0","withdraw","controlled","1","Male","pool","Break contact!","Voice\Battlefield\Male\withdraw__controlled 0.ogg","recording_required","","",""
"P0","withdraw","controlled","2","Female","pool","Back!","Voice\Battlefield\Female\withdraw__controlled 1.ogg","recording_required","","",""
"P0","withdraw","controlled","2","Male","pool","Back!","Voice\Battlefield\Male\withdraw__controlled 1.ogg","recording_required","","",""
"P0","withdraw","controlled","3","Female","pool","Move back!","Voice\Battlefield\Female\withdraw__controlled 2.ogg","recording_required","","",""
"P0","withdraw","controlled","3","Male","pool","Move back!","Voice\Battlefield\Male\withdraw__controlled 2.ogg","recording_required","","",""
"P0","withdraw","controlled","4","Female","pool","Disengage!","Voice\Battlefield\Female\withdraw__controlled 3.ogg","recording_required","","",""
"P0","withdraw","controlled","4","Male","pool","Disengage!","Voice\Battlefield\Male\withdraw__controlled 3.ogg","recording_required","","",""
"P0","withdraw","controlled","5","Female","pool","Back to cover!","Voice\Battlefield\Female\withdraw__controlled 4.ogg","recording_required","","",""
"P0","withdraw","controlled","5","Male","pool","Back to cover!","Voice\Battlefield\Male\withdraw__controlled 4.ogg","recording_required","","",""
"P0","withdraw","controlled","6","Female","pool","Withdraw!","Voice\Battlefield\Female\withdraw__controlled 5.ogg","recording_required","","",""
"P0","withdraw","controlled","6","Male","pool","Withdraw!","Voice\Battlefield\Male\withdraw__controlled 5.ogg","recording_required","","",""
"P0","withdraw","controlled","7","Female","pool","Give ground!","Voice\Battlefield\Female\withdraw__controlled 6.ogg","recording_required","","",""
"P0","withdraw","controlled","7","Male","pool","Give ground!","Voice\Battlefield\Male\withdraw__controlled 6.ogg","recording_required","","",""
"P0","withdraw","controlled","8","Female","pool","Pull out!","Voice\Battlefield\Female\withdraw__controlled 7.ogg","recording_required","","",""
"P0","withdraw","controlled","8","Male","pool","Pull out!","Voice\Battlefield\Male\withdraw__controlled 7.ogg","recording_required","","",""
"P0","withdraw","controlled","9","Female","pool","Fallback route!","Voice\Battlefield\Female\withdraw__controlled 8.ogg","recording_required","","",""
"P0","withdraw","controlled","9","Male","pool","Fallback route!","Voice\Battlefield\Male\withdraw__controlled 8.ogg","recording_required","","",""
"P0","withdraw","distressed","0","Female","emotional_override","Fall back, now!","Voice\Battlefield\Female\withdraw__distressed.ogg","recording_required","","",""
"P0","withdraw","distressed","0","Male","emotional_override","Fall back, now!","Voice\Battlefield\Male\withdraw__distressed.ogg","recording_required","","",""
"P0","withdraw","panicked","0","Female","emotional_override","Get me out of here!","Voice\Battlefield\Female\withdraw__panicked.ogg","recording_required","","",""
"P0","withdraw","panicked","0","Male","emotional_override","Get me out of here!","Voice\Battlefield\Male\withdraw__panicked.ogg","recording_required","","",""
"P0","withdraw","panicked","1","Female","emotional_override","We're being overrun!","Voice\Battlefield\Female\withdraw__panicked 0.ogg","recording_required","","",""
"P0","withdraw","panicked","1","Male","emotional_override","We're being overrun!","Voice\Battlefield\Male\withdraw__panicked 0.ogg","recording_required","","",""
"P1","civilian","controlled","0","Female","pool","Civilian, watch your fire!","Voice\Battlefield\Female\civilian__controlled.ogg","recording_required","","",""
"P1","civilian","controlled","0","Male","pool","Civilian, watch your fire!","Voice\Battlefield\Male\civilian__controlled.ogg","recording_required","","",""
"P1","civilian","controlled","1","Female","pool","Civilians near the target!","Voice\Battlefield\Female\civilian__controlled 0.ogg","recording_required","","",""
"P1","civilian","controlled","1","Male","pool","Civilians near the target!","Voice\Battlefield\Male\civilian__controlled 0.ogg","recording_required","","",""
"P1","civilian","controlled","2","Female","pool","Watch the civilians!","Voice\Battlefield\Female\civilian__controlled 1.ogg","recording_required","","",""
"P1","civilian","controlled","2","Male","pool","Watch the civilians!","Voice\Battlefield\Male\civilian__controlled 1.ogg","recording_required","","",""
"P1","civilian","controlled","3","Female","pool","Noncombatant, check fire!","Voice\Battlefield\Female\civilian__controlled 2.ogg","recording_required","","",""
"P1","civilian","controlled","3","Male","pool","Noncombatant, check fire!","Voice\Battlefield\Male\civilian__controlled 2.ogg","recording_required","","",""
"P1","civilian","controlled","4","Female","pool","Civilian in the line of fire!","Voice\Battlefield\Female\civilian__controlled 3.ogg","recording_required","","",""
"P1","civilian","controlled","4","Male","pool","Civilian in the line of fire!","Voice\Battlefield\Male\civilian__controlled 3.ogg","recording_required","","",""
"P1","civilian","controlled","5","Female","pool","Careful, civilian!","Voice\Battlefield\Female\civilian__controlled 4.ogg","recording_required","","",""
"P1","civilian","controlled","5","Male","pool","Careful, civilian!","Voice\Battlefield\Male\civilian__controlled 4.ogg","recording_required","","",""
"P1","civilian","controlled","6","Female","pool","Check your shots, civilian!","Voice\Battlefield\Female\civilian__controlled 5.ogg","recording_required","","",""
"P1","civilian","controlled","6","Male","pool","Check your shots, civilian!","Voice\Battlefield\Male\civilian__controlled 5.ogg","recording_required","","",""
"P1","civilian","controlled","7","Female","pool","Civilian nearby!","Voice\Battlefield\Female\civilian__controlled 6.ogg","recording_required","","",""
"P1","civilian","controlled","7","Male","pool","Civilian nearby!","Voice\Battlefield\Male\civilian__controlled 6.ogg","recording_required","","",""
"P1","civilian","controlled","8","Female","pool","Hold fire, civilian nearby!","Voice\Battlefield\Female\civilian__controlled 7.ogg","recording_required","","",""
"P1","civilian","controlled","8","Male","pool","Hold fire, civilian nearby!","Voice\Battlefield\Male\civilian__controlled 7.ogg","recording_required","","",""
"P1","civilian","controlled","9","Female","pool","Eyes on civilians!","Voice\Battlefield\Female\civilian__controlled 8.ogg","recording_required","","",""
"P1","civilian","controlled","9","Male","pool","Eyes on civilians!","Voice\Battlefield\Male\civilian__controlled 8.ogg","recording_required","","",""
"P1","contact","controlled","0","Female","pool","Contact!","Voice\Battlefield\Female\contact__controlled.ogg","recording_required","","",""
"P1","contact","controlled","0","Male","pool","Contact!","Voice\Battlefield\Male\contact__controlled.ogg","recording_required","","",""
"P1","contact","controlled","1","Female","pool","Enemy spotted!","Voice\Battlefield\Female\contact__controlled 0.ogg","recording_required","","",""
"P1","contact","controlled","1","Male","pool","Enemy spotted!","Voice\Battlefield\Male\contact__controlled 0.ogg","recording_required","","",""
"P1","contact","controlled","2","Female","pool","I see them!","Voice\Battlefield\Female\contact__controlled 1.ogg","recording_required","","",""
"P1","contact","controlled","2","Male","pool","I see them!","Voice\Battlefield\Male\contact__controlled 1.ogg","recording_required","","",""
"P1","contact","controlled","3","Female","pool","Contact front!","Voice\Battlefield\Female\contact__controlled 2.ogg","recording_required","","",""
"P1","contact","controlled","3","Male","pool","Contact front!","Voice\Battlefield\Male\contact__controlled 2.ogg","recording_required","","",""
